study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	library_strategy	library_source	read_count	experiment_title	study_title	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_alias	sample_title
PRJEB13247	SAMEA3914114	ERS1101248	ERX1417601	ERR1346031	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	13458	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1346031/ERR1346031.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/001/ERR1346031/ERR1346031.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346031/G13_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346031/G13_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/001/ERR1346031	ftp.sra.ebi.ac.uk/vol1/err/ERR134/001/ERR1346031			G13	healthy control
PRJEB13247	SAMEA3914115	ERS1101249	ERX1417602	ERR1346032	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	16046	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1346032/ERR1346032.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/002/ERR1346032/ERR1346032.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346032/G14_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346032/G14_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/002/ERR1346032	ftp.sra.ebi.ac.uk/vol1/err/ERR134/002/ERR1346032			G14	healthy control
PRJEB13247	SAMEA3914116	ERS1101250	ERX1417603	ERR1346033	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	15351	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1346033/ERR1346033.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/003/ERR1346033/ERR1346033.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346033/G15_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346033/G15_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/003/ERR1346033	ftp.sra.ebi.ac.uk/vol1/err/ERR134/003/ERR1346033			G15	healthy control
PRJEB13247	SAMEA3914117	ERS1101251	ERX1417604	ERR1346034	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	19723	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1346034/ERR1346034.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/004/ERR1346034/ERR1346034.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346034/G16_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346034/G16_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/004/ERR1346034	ftp.sra.ebi.ac.uk/vol1/err/ERR134/004/ERR1346034			G16	healthy control
PRJEB13247	SAMEA3914118	ERS1101252	ERX1417605	ERR1346035	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	8050	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1346035/ERR1346035.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/005/ERR1346035/ERR1346035.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346035/G17_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346035/G17_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/005/ERR1346035	ftp.sra.ebi.ac.uk/vol1/err/ERR134/005/ERR1346035			G17	healthy control
PRJEB13247	SAMEA3914119	ERS1101253	ERX1417606	ERR1346036	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	7895	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1346036/ERR1346036.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/006/ERR1346036/ERR1346036.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346036/G18_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346036/G18_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/006/ERR1346036	ftp.sra.ebi.ac.uk/vol1/err/ERR134/006/ERR1346036			G18	healthy control
PRJEB13247	SAMEA3914120	ERS1101254	ERX1417607	ERR1346037	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	19734	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/007/ERR1346037/ERR1346037.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/007/ERR1346037/ERR1346037.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346037/G19_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346037/G19_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/007/ERR1346037	ftp.sra.ebi.ac.uk/vol1/err/ERR134/007/ERR1346037			G19	healthy control
PRJEB13247	SAMEA3914121	ERS1101255	ERX1417608	ERR1346038	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	12957	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1346038/ERR1346038.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/008/ERR1346038/ERR1346038.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346038/G21_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346038/G21_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/008/ERR1346038	ftp.sra.ebi.ac.uk/vol1/err/ERR134/008/ERR1346038			G21	healthy control
PRJEB13247	SAMEA3914110	ERS1101244	ERX1417609	ERR1346039	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	7373	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1346039/ERR1346039.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/009/ERR1346039/ERR1346039.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346039/G22_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346039/G22_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/009/ERR1346039	ftp.sra.ebi.ac.uk/vol1/err/ERR134/009/ERR1346039			G22	healthy control
PRJEB13247	SAMEA3914088	ERS1101222	ERX1417610	ERR1346040	9606	Homo sapiens	Illumina HiSeq 2500	unspecified	SINGLE	WGS	METAGENOMIC	3870	Illumina HiSeq 2500 sequencing	Next-generation diagnosis of bacteremia in septic patients	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1346040/ERR1346040.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR134/000/ERR1346040/ERR1346040.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346040/G23_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR134/ERR1346040/G23_classified.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR134/000/ERR1346040	ftp.sra.ebi.ac.uk/vol1/err/ERR134/000/ERR1346040			G23	healthy control
