study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	library_source	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB21872	SAMEA104168575	ERS1827593	ERX2098307	ERR2039250	9606	Homo sapiens	Illumina HiSeq 2500	S16_T0	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/000/ERR2039250/ERR2039250.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/000/ERR2039250/ERR2039250.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039250/mirs_118_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039250/mirs_118_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/000/ERR2039250	ftp.sra.ebi.ac.uk/vol1/err/ERR203/000/ERR2039250		
PRJEB21872	SAMEA104168576	ERS1827594	ERX2098308	ERR2039251	9606	Homo sapiens	Illumina HiSeq 2500	S16_T1	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/001/ERR2039251/ERR2039251.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/001/ERR2039251/ERR2039251.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039251/mirs_119_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039251/mirs_119_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/001/ERR2039251	ftp.sra.ebi.ac.uk/vol1/err/ERR203/001/ERR2039251		
PRJEB21872	SAMEA104168577	ERS1827595	ERX2098309	ERR2039252	9606	Homo sapiens	Illumina HiSeq 2500	S16_T2	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/002/ERR2039252/ERR2039252.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/002/ERR2039252/ERR2039252.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039252/mirs_120_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039252/mirs_120_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/002/ERR2039252	ftp.sra.ebi.ac.uk/vol1/err/ERR203/002/ERR2039252		
PRJEB21872	SAMEA104168578	ERS1827596	ERX2098310	ERR2039253	9606	Homo sapiens	Illumina HiSeq 2500	S16_T3	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/003/ERR2039253/ERR2039253.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/003/ERR2039253/ERR2039253.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039253/mirs_017_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039253/mirs_017_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/003/ERR2039253	ftp.sra.ebi.ac.uk/vol1/err/ERR203/003/ERR2039253		
PRJEB21872	SAMEA104168579	ERS1827597	ERX2098311	ERR2039254	9606	Homo sapiens	Illumina HiSeq 2500	S16_T4	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/004/ERR2039254/ERR2039254.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/004/ERR2039254/ERR2039254.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039254/mirs_002_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039254/mirs_002_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/004/ERR2039254	ftp.sra.ebi.ac.uk/vol1/err/ERR203/004/ERR2039254		
PRJEB21872	SAMEA104168580	ERS1827598	ERX2098312	ERR2039255	9606	Homo sapiens	Illumina HiSeq 2500	S16_T5	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/005/ERR2039255/ERR2039255.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/005/ERR2039255/ERR2039255.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039255/mirs_018_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039255/mirs_018_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/005/ERR2039255	ftp.sra.ebi.ac.uk/vol1/err/ERR203/005/ERR2039255		
PRJEB21872	SAMEA104168581	ERS1827599	ERX2098313	ERR2039256	9606	Homo sapiens	Illumina HiSeq 2500	S16_T6	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/006/ERR2039256/ERR2039256.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/006/ERR2039256/ERR2039256.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039256/mirs_003_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039256/mirs_003_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/006/ERR2039256	ftp.sra.ebi.ac.uk/vol1/err/ERR203/006/ERR2039256		
PRJEB21872	SAMEA104168582	ERS1827600	ERX2098314	ERR2039257	9606	Homo sapiens	Illumina HiSeq 2500	S25_T0	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/007/ERR2039257/ERR2039257.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/007/ERR2039257/ERR2039257.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039257/mirs_010_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039257/mirs_010_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/007/ERR2039257	ftp.sra.ebi.ac.uk/vol1/err/ERR203/007/ERR2039257		
PRJEB21872	SAMEA104168583	ERS1827601	ERX2098315	ERR2039258	9606	Homo sapiens	Illumina HiSeq 2500	S25_T1	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/008/ERR2039258/ERR2039258.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/008/ERR2039258/ERR2039258.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039258/mirs_011_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039258/mirs_011_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/008/ERR2039258	ftp.sra.ebi.ac.uk/vol1/err/ERR203/008/ERR2039258		
PRJEB21872	SAMEA104168584	ERS1827602	ERX2098316	ERR2039259	9606	Homo sapiens	Illumina HiSeq 2500	S25_T2	SINGLE	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/009/ERR2039259/ERR2039259.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR203/009/ERR2039259/ERR2039259.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039259/mirs_154_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR203/ERR2039259/mirs_154_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR203/009/ERR2039259	ftp.sra.ebi.ac.uk/vol1/err/ERR203/009/ERR2039259		
