study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	library_strategy	library_source	experiment_title	study_title	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy	sample_alias	sample_title
PRJEB30958	SAMEA5242735	ERS3050137	ERX3151357	ERR3090530	9606	Homo sapiens	Illumina HiSeq 2500	S12_T0	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/000/ERR3090530/ERR3090530.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/000/ERR3090530/ERR3090530.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090530/mirs_001_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090530/mirs_001_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/000/ERR3090530	ftp.sra.ebi.ac.uk/vol1/err/ERR309/000/ERR3090530			mirs_001	classifiedReads
PRJEB30958	SAMEA5242736	ERS3050138	ERX3151358	ERR3090531	9606	Homo sapiens	Illumina HiSeq 2500	S53_T0	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/001/ERR3090531/ERR3090531.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/001/ERR3090531/ERR3090531.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090531/mirs_004_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090531/mirs_004_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/001/ERR3090531	ftp.sra.ebi.ac.uk/vol1/err/ERR309/001/ERR3090531			mirs_004	classifiedReads
PRJEB30958	SAMEA5242737	ERS3050139	ERX3151359	ERR3090532	9606	Homo sapiens	Illumina HiSeq 2500	S10_T0	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/002/ERR3090532/ERR3090532.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/002/ERR3090532/ERR3090532.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090532/mirs_005_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090532/mirs_005_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/002/ERR3090532	ftp.sra.ebi.ac.uk/vol1/err/ERR309/002/ERR3090532			mirs_005	classifiedReads
PRJEB30958	SAMEA5242738	ERS3050140	ERX3151360	ERR3090533	9606	Homo sapiens	Illumina HiSeq 2500	S12_T4	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/003/ERR3090533/ERR3090533.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/003/ERR3090533/ERR3090533.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090533/mirs_006_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090533/mirs_006_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/003/ERR3090533	ftp.sra.ebi.ac.uk/vol1/err/ERR309/003/ERR3090533			mirs_006	classifiedReads
PRJEB30958	SAMEA5242739	ERS3050141	ERX3151361	ERR3090534	9606	Homo sapiens	Illumina HiSeq 2500	S12_T5	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/004/ERR3090534/ERR3090534.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/004/ERR3090534/ERR3090534.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090534/mirs_007_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090534/mirs_007_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/004/ERR3090534	ftp.sra.ebi.ac.uk/vol1/err/ERR309/004/ERR3090534			mirs_007	classifiedReads
PRJEB30958	SAMEA5242740	ERS3050142	ERX3151362	ERR3090535	9606	Homo sapiens	Illumina HiSeq 2500	S23_T1	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/005/ERR3090535/ERR3090535.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/005/ERR3090535/ERR3090535.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090535/mirs_008_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090535/mirs_008_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/005/ERR3090535	ftp.sra.ebi.ac.uk/vol1/err/ERR309/005/ERR3090535			mirs_008	classifiedReads
PRJEB30958	SAMEA5242741	ERS3050143	ERX3151363	ERR3090536	9606	Homo sapiens	Illumina HiSeq 2500	S38_T0	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/006/ERR3090536/ERR3090536.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/006/ERR3090536/ERR3090536.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090536/mirs_013_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090536/mirs_013_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/006/ERR3090536	ftp.sra.ebi.ac.uk/vol1/err/ERR309/006/ERR3090536			mirs_013	classifiedReads
PRJEB30958	SAMEA5242742	ERS3050144	ERX3151364	ERR3090537	9606	Homo sapiens	Illumina HiSeq 2500	S39_T0	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/007/ERR3090537/ERR3090537.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/007/ERR3090537/ERR3090537.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090537/mirs_014_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090537/mirs_014_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/007/ERR3090537	ftp.sra.ebi.ac.uk/vol1/err/ERR309/007/ERR3090537			mirs_014	classifiedReads
PRJEB30958	SAMEA5242743	ERS3050145	ERX3151365	ERR3090538	9606	Homo sapiens	Illumina HiSeq 2500	S44_T1	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/008/ERR3090538/ERR3090538.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/008/ERR3090538/ERR3090538.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090538/mirs_015_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090538/mirs_015_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/008/ERR3090538	ftp.sra.ebi.ac.uk/vol1/err/ERR309/008/ERR3090538			mirs_015	classifiedReads
PRJEB30958	SAMEA5242744	ERS3050146	ERX3151366	ERR3090539	9606	Homo sapiens	Illumina HiSeq 2500	S44_T6	SINGLE	WGS	METAGENOMIC	Illumina HiSeq 2500 sequencing	Enhanced performance of next-generation sequencing diagnostics compared to standard of care microbiological diagnostics in patients suffering from septic shock	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/009/ERR3090539/ERR3090539.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR309/009/ERR3090539/ERR3090539.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090539/mirs_016_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR309/ERR3090539/mirs_016_kraken_filtered.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR309/009/ERR3090539	ftp.sra.ebi.ac.uk/vol1/err/ERR309/009/ERR3090539			mirs_016	classifiedReads
