y,Bifidobacteriaceae,Micrococcaceae,Microbacteriaceae,Demequinaceae,Dermabacteraceae,Dermacoccaceae,Promicromonosporaceae,Mycobacteriaceae,Actinomycetaceae,Streptomycetaceae,Nocardioidaceae,Propionibacteriaceae,Micromonosporaceae,Pseudonocardiaceae,Geodermatophilaceae,Streptosporangiaceae,Coriobacteriaceae,Lactobacillaceae,Streptococcaceae,Enterococcaceae,Leuconostocaceae,Aerococcaceae,Staphylococcaceae,Bacillaceae,Listeriaceae,Paenibacillaceae,Planococcaceae,Alicyclobacillaceae,Sporolactobacillaceae,Thermoactinomycetaceae,Peptostreptococcaceae,Ruminococcaceae,Clostridiales Family XIII. Incertae Sedis,Clostridiaceae,Lachnospiraceae,Peptococcaceae,Peptoniphilaceae,Erysipelotrichaceae,Mycoplasmataceae,Acholeplasmataceae,Oscillochloridaceae,Enterobacteriaceae,Yersiniaceae,Morganellaceae,Erwiniaceae,Rhodanobacteraceae,Xanthomonadaceae,Aeromonadaceae,Vibrionaceae,Pseudomonadaceae,Moraxellaceae,Ectothiorhodospiraceae,Chromatiaceae,Halieaceae,Halomonadaceae,Shewanellaceae,Pasteurellaceae,Coxiellaceae,Methylocystaceae,Bradyrhizobiaceae,Brucellaceae,Phyllobacteriaceae,Hyphomicrobiaceae,Methylobacteriaceae,Aurantimonadaceae,Xanthobacteraceae,Rhizobiaceae,Beijerinckiaceae,Sphingomonadaceae,Erythrobacteraceae,Acetobacteraceae,Rhodospirillaceae,Rhodobacteraceae,Hyphomonadaceae,Rickettsiaceae,Candidatus Paracaedibacteraceae,Caulobacteraceae,Pelagibacteraceae,Parvularculaceae,Neisseriaceae,Comamonadaceae,Alcaligenaceae,Burkholderiaceae,Oxalobacteraceae,Desulfobacteraceae,Desulfuromonadaceae,Gemmatimonadaceae,Flavobacteriaceae,Sphingobacteriaceae,Prolixibacteraceae,Hymenobacteraceae,Chlorobiaceae,Spirochaetaceae,Chrysiogenaceae,Deferribacteraceae,Halanaerobiaceae,Selenomonadaceae,Cardiobacteriaceae,Alteromonadaceae,Spongiibacteraceae,Desulfovibrionaceae,Chitinophagaceae,Nocardiaceae,Candidatus Nanopelagicaceae,Atopobiaceae,Sporomusaceae,Veillonellaceae,Endozoicomonadaceae,Cellvibrionaceae,Francisellaceae,Piscirickettsiaceae,Methylococcaceae,Sinobacteraceae,Kordiimonadaceae,Desulfobulbaceae,Marinifilaceae,Thermodesulfobacteriaceae,Fervidobacteriaceae,Oceanospirillaceae,Colwelliaceae,Idiomarinaceae,Fastidiosibacteraceae,Sutterellaceae,Nocardiopsaceae,Eggerthellaceae,Balneolaceae,Acidobacteriaceae,Legionellaceae,Gallionellaceae,Syntrophobacteraceae,Nautiliaceae,Beutenbergiaceae,Methylophilaceae,Thermaceae,Rubricoccaceae,Magnetococcaceae,Planctomycetaceae,Marinilabiliaceae,Aquificaceae,Eimeriidae
healthy,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
septic,2.0,0.0,2.0,0.0,0.0,0.0,28.0,0.0,5.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,63.0,0.0,6.0,0.0,0.0,6.0,47.0,0.0,0.0,40.0,2.0,10.0,8.0,109.0,0.0,15.0,17.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0
healthy,25.0,0.0,0.0,0.0,0.0,1.0,1.0,38.0,13.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0,9.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy,48.0,1.0,9.0,0.0,0.0,0.0,2.0,51.0,59.0,0.0,0.0,12.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,8.0,0.0,323.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,19.0,0.0,3.0,0.0,1.0,0.0,15.0,0.0,0.0,167.0,5.0,7.0,0.0,10.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,21.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy,44.0,0.0,30.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,69.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,1.0,31.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy,42.0,11.0,5.0,0.0,0.0,3.0,1.0,0.0,34.0,0.0,1.0,11.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,3.0,0.0,115.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,0.0,2.0,0.0,0.0,2.0,22.0,0.0,0.0,6.0,1.0,7.0,3.0,5.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
septic,1.0,0.0,12.0,0.0,0.0,0.0,33.0,0.0,3.0,0.0,0.0,18.0,3.0,0.0,9.0,0.0,37.0,0.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,590.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,74.0,0.0,9.0,1.0,0.0,13.0,52.0,0.0,0.0,154.0,11.0,10.0,5.0,76.0,1.0,13.0,188.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy,19.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,81.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
septic,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86.0,0.0,4.0,0.0,0.0,24.0,74.0,0.0,0.0,64.0,5.0,6.0,3.0,53.0,0.0,16.0,30.0,0.0,0.0,2.0,0.0,18.0,0.0,3.0,8.0,1.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy,29.0,2.0,23.0,0.0,0.0,4.0,2.0,99.0,46.0,0.0,0.0,32.0,7.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,261.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,0.0,3.0,0.0,0.0,1.0,25.0,0.0,0.0,12.0,8.0,9.0,3.0,19.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
