SAMPLE_ID	GROUP	FILE_R1	FILE_R2
1k	control	1k_S1_L001_R1_001.fastq.gz	1k_S1_L001_R2_001.fastq.gz
1p	sample	1p_S25_L001_R1_001.fastq.gz	1p_S25_L001_R2_001.fastq.gz
2k	control	2k_S2_L001_R1_001.fastq.gz	2k_S2_L001_R2_001.fastq.gz
2p	sample	2p_S26_L001_R1_001.fastq.gz	2p_S26_L001_R2_001.fastq.gz
3k	control	3k_S3_L001_R1_001.fastq.gz	3k_S3_L001_R2_001.fastq.gz
3p	sample	3p_S27_L001_R1_001.fastq.gz	3p_S27_L001_R2_001.fastq.gz
4k	control	4k_S4_L001_R1_001.fastq.gz	4k_S4_L001_R2_001.fastq.gz
4p	sample	4p_S28_L001_R1_001.fastq.gz	4p_S28_L001_R2_001.fastq.gz
5k	control	5k_S5_L001_R1_001.fastq.gz	5k_S5_L001_R2_001.fastq.gz
5p	sample	5p_S29_L001_R1_001.fastq.gz	5p_S29_L001_R2_001.fastq.gz
6k	control	6k_S6_L001_R1_001.fastq.gz	6k_S6_L001_R2_001.fastq.gz
6p	sample	6p_S30_L001_R1_001.fastq.gz	6p_S30_L001_R2_001.fastq.gz
7k	control	7k_S7_L001_R1_001.fastq.gz	7k_S7_L001_R2_001.fastq.gz
7p	sample	7p_S31_L001_R1_001.fastq.gz	7p_S31_L001_R2_001.fastq.gz
8k	control	8k_S8_L001_R1_001.fastq.gz	8k_S8_L001_R2_001.fastq.gz
8p	sample	8p_S32_L001_R1_001.fastq.gz	8p_S32_L001_R2_001.fastq.gz
9k	control	9k_S9_L001_R1_001.fastq.gz	9k_S9_L001_R2_001.fastq.gz
9p	sample	9p_S33_L001_R1_001.fastq.gz	9p_S33_L001_R2_001.fastq.gz
10k	control	10k_S10_L001_R1_001.fastq.gz	10k_S10_L001_R2_001.fastq.gz
10p	sample	10p_S34_L001_R1_001.fastq.gz	10p_S34_L001_R2_001.fastq.gz
11k	control	11k_S11_L001_R1_001.fastq.gz	11k_S11_L001_R2_001.fastq.gz
11p	sample	11p_S35_L001_R1_001.fastq.gz	11p_S35_L001_R2_001.fastq.gz
12k	control	12k_S12_L001_R1_001.fastq.gz	12k_S12_L001_R2_001.fastq.gz
12p	sample	12p_S36_L001_R1_001.fastq.gz	12p_S36_L001_R2_001.fastq.gz
13k	control	13k_S13_L001_R1_001.fastq.gz	13k_S13_L001_R2_001.fastq.gz
