y,Bifidobacteriales,Micrococcales,Corynebacteriales,Actinomycetales,Streptomycetales,Propionibacteriales,Micromonosporales,Glycomycetales,Pseudonocardiales,Frankiales,Geodermatophilales,Jiangellales,Streptosporangiales,Rubrobacterales,Acidimicrobiales,Coriobacteriales,Euzebyales,Lactobacillales,Bacillales,Clostridiales,Thermoanaerobacterales,Tissierellales,Erysipelotrichales,Synechococcales,Gloeobacterales,Nostocales,Chroococcales,Oscillatoriales,Mycoplasmatales,Acholeplasmatales,Entomoplasmatales,Chloroflexales,Anaerolineales,Thermoflexales,Chthonomonadales,Enterobacterales,Xanthomonadales,Aeromonadales,Vibrionales,Pseudomonadales,Chromatiales,Cellvibrionales,Oceanospirillales,Alteromonadales,Pasteurellales,Legionellales,Rhizobiales,Sphingomonadales,Rhodospirillales,Rhodobacterales,Rickettsiales,Holosporales,Magnetococcales,Caulobacterales,Emcibacterales,Pelagibacterales,Parvularculales,Sneathiellales,Neisseriales,Burkholderiales,Rhodocyclales,Desulfarculales,Desulfobacterales,Myxococcales,Desulfuromonadales,Desulfovibrionales,Campylobacterales,Bdellovibrionales,Gemmatimonadales,Flavobacteriales,Sphingobacteriales,Bacteroidales,Marinilabiliales,Cytophagales,Chlorobiales,Chitinivibrionales,Spirochaetales,Leptospirales,Parachlamydiales,Lentisphaerales,Elusimicrobiales,Fusobacteriales,Aquificales,Kosmotogales,Chrysiogenales,Deferribacterales,Holophagales,Halanaerobiales,Natranaerobiales,Selenomonadales,Cardiobacteriales,Thiotrichales,Kiloniellales,Nitrosomonadales,Chitinophagales,Fibrobacterales,Chlamydiales,Microstromatales,Candidatus Nanopelagicales,Kineosporiales,Veillonellales,Methylococcales,Nevskiales,Kordiimonadales,Minwuiales,Bradymonadales,Hydrogenophilales,Bacteroidetes Order II. Incertae sedis,Brachyspirales,Haloplasmatales,Puniceicoccales,Thermodesulfobacteriales,Thermotogales,Salinisphaerales,Immundisolibacterales,Silvanigrellales,Acidithiobacillales,Acidothermales,Eggerthellales,Nitriliruptorales,Solirubrobacterales,Ktedonobacterales,Sphaerobacterales,Deinococcales,Abditibacteriales,Balneolales,Acidobacteriales,Planctomycetales,Primates,Syntrophobacterales,Nautiliales,Candidatus Gastranaerophilales,Saprospirales,Verrucomicrobiales,Candidatus Brocadiales,Nakamurellales,Fimbriimonadales,Acidiferrobacterales,Acidaminococcales,Thermoleophilales,Thermales,Rhodothermales,Petrotogales,Nitrospirales,Synergistales,Pucciniales,Gaiellales,Herpetosiphonales,Capsulimonadales,Opitutales,Victivallales,Desulfurellales,Bacteriovoracales,Mariprofundales,Polyporales,Sedimentisphaerales,Candidatus Cryosericales,Thermomicrobiales,Desulfurobacteriales,Saprolegniales,Hypocreales,Catenulisporales,Dictyoglomales,Orbales,Gloeoemargaritales,Mesoaciditogales,Thermogemmatisporales,Methylacidiphilales,Phycisphaerales,Blastocatellales,Calditrichales,Arenicellales,Pleurocapsales,Caldisericales,Pleosporales,Ignavibacteriales,Candidatus Comantemales,Sordariales,Eucoccidiorida,Onygenales,Brevinematales
healthy,36269.0,177.0,88.0,79.0,62.0,78.0,2.0,7.0,0.0,2.0,2.0,0.0,1.0,1.0,4.0,6.0,0.0,1485.0,740.0,278.0,0.0,4.0,0.0,12.0,9.0,1.0,0.0,0.0,12.0,0.0,0.0,5.0,6.0,2.0,0.0,762.0,1011.0,13.0,74.0,106.0,14.0,5.0,104.0,11.0,6.0,1.0,298.0,294.0,37.0,14.0,16.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,20.0,18.0,0.0,5.0,3.0,3.0,0.0,8.0,7.0,0.0,0.0,8.0,1.0,1.0,0.0,5.0,38.0,0.0,5.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
septic,271.0,318.0,96.0,23.0,24.0,10.0,6.0,0.0,2.0,2.0,12.0,1.0,0.0,1.0,2.0,9.0,2.0,989.0,324.0,529.0,1.0,4.0,5.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,3.0,2.0,5.0,3.0,0.0,2366.0,520.0,808.0,152.0,463.0,14.0,24.0,89.0,13.0,6.0,4.0,1099.0,5262.0,107.0,675.0,46.0,20.0,9.0,7.0,0.0,2.0,0.0,0.0,74.0,1021.0,3.0,4.0,10.0,45.0,11.0,17.0,33.0,2.0,0.0,253.0,2.0,0.0,0.0,2.0,5.0,1.0,0.0,1.0,10.0,0.0,0.0,6.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,7.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,863.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy,30606.0,73.0,250.0,47.0,45.0,47.0,6.0,8.0,2.0,8.0,2.0,0.0,1.0,7.0,1.0,3.0,2.0,803.0,1069.0,245.0,0.0,62.0,1.0,14.0,7.0,1.0,0.0,0.0,7.0,4.0,1.0,0.0,2.0,0.0,0.0,982.0,817.0,38.0,62.0,17.0,14.0,9.0,40.0,9.0,1.0,1.0,261.0,30.0,15.0,9.0,29.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,20.0,18.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,29.0,0.0,67.0,0.0,0.0,34.0,1.0,4.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy,26812.0,607.0,1568.0,274.0,172.0,217.0,14.0,6.0,16.0,9.0,10.0,0.0,7.0,0.0,14.0,3.0,3.0,3141.0,1778.0,1423.0,24.0,27.0,2.0,52.0,28.0,2.0,0.0,0.0,28.0,8.0,2.0,2.0,10.0,4.0,0.0,3689.0,1174.0,101.0,204.0,78.0,66.0,8.0,10.0,28.0,4.0,0.0,554.0,5055.0,343.0,1431.0,61.0,8.0,11.0,4.0,2.0,1.0,5.0,1.0,45.0,424.0,5.0,6.0,15.0,5.0,4.0,13.0,27.0,0.0,132.0,101.0,0.0,2.0,0.0,986.0,93.0,0.0,22.0,7.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,11.0,1.0,1.0,2.0,0.0,338.0,2.0,1.0,0.0,0.0,13.0,1.0,8.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy,20546.0,87.0,416.0,59.0,60.0,50.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,44.0,5.0,3.0,0.0,451.0,630.0,187.0,0.0,6.0,0.0,23.0,10.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0,809.0,505.0,71.0,64.0,65.0,14.0,2.0,4.0,7.0,0.0,0.0,459.0,10.0,30.0,683.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,75.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,7.0,0.0,1.0,0.0,1.0,31.0,0.0,7.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy,40885.0,477.0,268.0,98.0,94.0,83.0,11.0,10.0,4.0,4.0,3.0,2.0,1.0,15.0,10.0,3.0,2.0,1819.0,1115.0,421.0,1.0,14.0,10.0,25.0,17.0,9.0,2.0,1.0,27.0,7.0,3.0,5.0,3.0,3.0,1.0,1776.0,1453.0,188.0,134.0,83.0,30.0,17.0,17.0,9.0,5.0,1.0,873.0,91.0,69.0,54.0,43.0,21.0,10.0,3.0,2.0,1.0,1.0,1.0,118.0,57.0,2.0,5.0,4.0,3.0,2.0,1.0,14.0,2.0,183.0,36.0,35.0,2.0,1.0,2.0,44.0,4.0,9.0,5.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
septic,26.0,481.0,42.0,16.0,132.0,52.0,3.0,0.0,12.0,2.0,16.0,0.0,1.0,1.0,0.0,37.0,1.0,115.0,2490.0,670.0,0.0,6.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,5.0,16.0,0.0,0.0,5244.0,1788.0,614.0,176.0,522.0,14.0,476.0,204.0,27.0,37.0,9.0,1654.0,17758.0,187.0,174.0,67.0,194.0,9.0,50.0,0.0,2.0,1.0,1.0,89.0,318.0,2.0,1.0,28.0,126.0,35.0,52.0,53.0,1.0,0.0,3.0,1.0,2.0,0.0,15.0,1.0,0.0,2.0,1.0,11.0,0.0,0.0,6.0,0.0,2.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,48.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,12.0,14.0,18.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy,41152.0,107.0,410.0,66.0,132.0,114.0,3.0,2.0,1.0,3.0,7.0,0.0,1.0,0.0,6.0,1.0,0.0,843.0,848.0,436.0,0.0,2.0,0.0,19.0,11.0,0.0,0.0,1.0,14.0,6.0,0.0,0.0,1.0,0.0,0.0,1178.0,1259.0,55.0,127.0,98.0,33.0,5.0,7.0,10.0,0.0,2.0,304.0,438.0,15.0,35.0,18.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,128.0,0.0,6.0,1.0,2.0,2.0,6.0,4.0,0.0,1.0,83.0,0.0,8.0,0.0,366.0,46.0,1.0,5.0,4.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,82.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
septic,328.0,2878.0,11228.0,28.0,49.0,29.0,0.0,0.0,14.0,1.0,3.0,0.0,15.0,0.0,0.0,6.0,0.0,168.0,1155.0,82.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,6.0,6.0,0.0,0.0,3113.0,961.0,241.0,94.0,119.0,15.0,26.0,134.0,16.0,38.0,7.0,7959.0,5075.0,185.0,177.0,73.0,35.0,19.0,31.0,0.0,1.0,3.0,1.0,123.0,334.0,2.0,5.0,24.0,35.0,40.0,42.0,25.0,0.0,0.0,9.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,62.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,7.0,2.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy,18744.0,119.0,735.0,138.0,96.0,130.0,11.0,9.0,9.0,4.0,7.0,0.0,5.0,0.0,9.0,5.0,2.0,2023.0,1941.0,558.0,0.0,216.0,1.0,27.0,18.0,3.0,0.0,1.0,18.0,6.0,2.0,14.0,13.0,5.0,0.0,2091.0,1593.0,89.0,136.0,352.0,38.0,11.0,21.0,22.0,9.0,2.0,518.0,125.0,94.0,159.0,67.0,13.0,6.0,7.0,0.0,7.0,0.0,1.0,73.0,159.0,0.0,7.0,5.0,1.0,6.0,11.0,13.0,8.0,0.0,68.0,0.0,3.0,2.0,10.0,62.0,0.0,11.0,5.0,2.0,0.0,2.0,5.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,4.0,0.0,7.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
