  0.08	3	3	U	0	unclassified
 99.92	3580	5	R	1	root
 99.78	3575	20	R1	131567	  cellular organisms
 99.22	3555	375	D	2	    Bacteria
 85.15	3051	110	P	1224	      Proteobacteria
 75.52	2706	107	C	1236	        Gammaproteobacteria
 62.18	2228	2	O	72274	          Pseudomonadales
 62.02	2222	3	F	135621	            Pseudomonadaceae
 61.93	2219	2075	G	286	              Pseudomonas
  3.77	135	118	G1	136843	                Pseudomonas fluorescens group
  0.39	14	10	S	294	                  Pseudomonas fluorescens
  0.08	3	3	S1	1334632	                    Pseudomonas fluorescens PICF7
  0.03	1	1	S1	564421	                    Pseudomonas fluorescens NZ052
  0.08	3	3	S	76760	                  Pseudomonas rhodesiae
  0.08	3	0	G1	136849	                Pseudomonas syringae group
  0.08	3	0	G2	251695	                  Pseudomonas syringae group genomosp. 1
  0.08	3	0	S	317	                    Pseudomonas syringae
  0.08	3	3	S1	663959	                      Pseudomonas syringae pv. avii
  0.06	2	0	G1	136841	                Pseudomonas aeruginosa group
  0.06	2	2	S	287	                  Pseudomonas aeruginosa
  0.03	1	0	G1	136846	                Pseudomonas stutzeri group
  0.03	1	0	G2	578833	                  Pseudomonas stutzeri subgroup
  0.03	1	1	S	316	                    Pseudomonas stutzeri
  0.03	1	1	S	1705700	                Pseudomonas sp. 286
  0.03	1	1	S	2009179	                Pseudomonas sp. Irchel s3h14
  0.03	1	1	S	321846	                Pseudomonas simiae
  0.11	4	1	F	468	            Moraxellaceae
  0.03	1	1	G	469	              Acinetobacter
  0.03	1	0	G	475	              Moraxella
  0.03	1	1	S	34062	                Moraxella osloensis
  0.03	1	1	G	497	              Psychrobacter
  6.39	229	0	O	135614	          Xanthomonadales
  6.39	229	79	F	32033	            Xanthomonadaceae
  4.19	150	69	G	40323	              Stenotrophomonas
  2.23	80	3	G1	995085	                Stenotrophomonas maltophilia group
  2.15	77	77	S	40324	                  Stenotrophomonas maltophilia
  0.03	1	1	S	2005046	                Stenotrophomonas sp. WZN-1
  3.94	141	37	O	91347	          Enterobacterales
  2.87	103	79	F	543	            Enterobacteriaceae
  0.45	16	6	G	561	              Escherichia
  0.28	10	10	S	562	                Escherichia coli
  0.22	8	6	G	570	              Klebsiella
  0.03	1	1	S	2043139	                Klebsiella sp. MBT K-1
  0.03	1	0	S	1134687	                Klebsiella michiganensis
  0.03	1	1	S1	1191061	                  Klebsiella michiganensis E718
  0.03	1	0	F	1903414	            Morganellaceae
  0.03	1	0	G	583	              Proteus
  0.03	1	1	S	584	                Proteus mirabilis
  0.03	1	0	O	135622	          Alteromonadales
  0.03	1	0	F	267892	            Ferrimonadaceae
  0.03	1	0	G	44011	              Ferrimonas
  0.03	1	1	S	718193	                Ferrimonas sediminum
  5.78	207	4	C	28216	        Betaproteobacteria
  5.64	202	21	O	80840	          Burkholderiales
  4.91	176	33	F	119060	            Burkholderiaceae
  3.77	135	98	G	48736	              Ralstonia
  0.42	15	12	S	305	                Ralstonia solanacearum
  0.08	3	3	S1	859655	                  Ralstonia solanacearum CMR15
  0.14	5	5	S	2448774	                Ralstonia sp. SET104
  0.14	5	5	S	1676617	                Ralstonia sp. MD27
  0.11	4	4	S	329	                Ralstonia pickettii
  0.08	3	3	S	190721	                Ralstonia insidiosa
  0.06	2	2	S	1217052	                Ralstonia sp. A12
  0.06	2	2	S	105219	                Ralstonia mannitolilytica
  0.03	1	1	S	1380362	                Ralstonia sp. UNC404CL21Col
  0.14	5	2	G	106589	              Cupriavidus
  0.03	1	1	S	2027911	                Cupriavidus sp. P-10
  0.03	1	1	S	164546	                Cupriavidus taiwanensis
  0.03	1	1	S	942865	                Cupriavidus plantarum
  0.03	1	0	G	32008	              Burkholderia
  0.03	1	0	G1	111527	                pseudomallei group
  0.03	1	0	S	28450	                  Burkholderia pseudomallei
  0.03	1	1	S1	1437003	                    Burkholderia pseudomallei MSHR3458
  0.03	1	1	G	93217	              Pandoraea
  0.03	1	0	G	1827195	              Caballeronia
  0.03	1	1	S	1777140	                Caballeronia hypogeia
  0.08	3	0	F	80864	            Comamonadaceae
  0.06	2	1	G	12916	              Acidovorax
  0.03	1	1	S	2153365	                Acidovorax sp. FJL06
  0.03	1	0	G	1649468	              Melaminivora
  0.03	1	1	S	2116657	                Melaminivora sp. SC2-7
  0.06	2	0	F	506	            Alcaligenaceae
  0.03	1	1	G	517	              Bordetella
  0.03	1	1	G	222	              Achromobacter
  0.03	1	0	O	32003	          Nitrosomonadales
  0.03	1	0	F	2008793	            Sterolibacteriaceae
  0.03	1	0	G	378210	              Methyloversatilis
  0.03	1	1	S	378211	                Methyloversatilis universalis
  0.78	28	13	C	28211	        Alphaproteobacteria
  0.25	9	0	O	204458	          Caulobacterales
  0.25	9	0	F	76892	            Caulobacteraceae
  0.22	8	5	G	41275	              Brevundimonas
  0.03	1	0	S	74313	                Brevundimonas subvibrioides
  0.03	1	1	S1	633149	                  Brevundimonas subvibrioides ATCC 15264
  0.03	1	1	S	1495854	                Brevundimonas sp. EAKA
  0.03	1	1	S	1827469	                Brevundimonas sp. GW460-12-10-14-LB2
  0.03	1	0	G	75	              Caulobacter
  0.03	1	1	S	69395	                Caulobacter henricii
  0.17	6	2	O	356	          Rhizobiales
  0.08	3	0	F	82115	            Rhizobiaceae
  0.08	3	0	F1	227290	              Rhizobium/Agrobacterium group
  0.06	2	0	G	357	                Agrobacterium
  0.06	2	1	G1	1183400	                  Agrobacterium tumefaciens complex
  0.03	1	0	S	358	                    Agrobacterium tumefaciens
  0.03	1	1	S1	1050720	                      Agrobacterium tumefaciens F2
  0.03	1	0	G	379	                Rhizobium
  0.03	1	0	S	29449	                  Rhizobium etli
  0.03	1	1	S1	347834	                    Rhizobium etli CFN 42
  0.03	1	0	F	69277	            Phyllobacteriaceae
  0.03	1	0	G	68287	              Mesorhizobium
  0.03	1	1	S	1854057	                Mesorhizobium sp. AA22
  2.60	93	0	D1	1783270	      FCB group
  2.60	93	0	D2	68336	        Bacteroidetes/Chlorobi group
  2.60	93	2	P	976	          Bacteroidetes
  2.54	91	0	C	200643	            Bacteroidia
  2.54	91	1	O	171549	              Bacteroidales
  2.51	90	0	F	815	                Bacteroidaceae
  2.51	90	65	G	816	                  Bacteroides
  0.67	24	24	S	817	                    Bacteroides fragilis
  0.03	1	1	S	28116	                    Bacteroides ovatus
  1.00	36	1	D1	1783272	      Terrabacteria group
  0.81	29	0	P	201174	        Actinobacteria
  0.81	29	5	C	1760	          Actinobacteria
  0.39	14	2	O	85007	            Corynebacteriales
  0.25	9	0	F	85025	              Nocardiaceae
  0.25	9	9	G	1827	                Rhodococcus
  0.08	3	0	F	85029	              Dietziaceae
  0.08	3	3	G	37914	                Dietzia
  0.20	7	0	O	85009	            Propionibacteriales
  0.20	7	7	F	31957	              Propionibacteriaceae
  0.03	1	0	O	85004	            Bifidobacteriales
  0.03	1	0	F	31953	              Bifidobacteriaceae
  0.03	1	0	G	1678	                Bifidobacterium
  0.03	1	1	S	1685	                  Bifidobacterium breve
  0.03	1	0	O	85006	            Micrococcales
  0.03	1	1	F	1268	              Micrococcaceae
  0.03	1	0	O	85012	            Streptosporangiales
  0.03	1	0	F	83676	              Nocardiopsaceae
  0.03	1	0	G	2013	                Nocardiopsis
  0.03	1	1	S	2183912	                  Nocardiopsis sp. Huas11
  0.17	6	0	P	1239	        Firmicutes
