100.00	9277	86	R	1	root
 98.85	9170	132	R1	131567	  cellular organisms
 97.42	9038	1323	D	2	    Bacteria
 70.77	6565	2017	P	1224	      Proteobacteria
 46.99	4359	425	C	1236	        Gammaproteobacteria
 22.16	2056	83	O	91347	          Enterobacterales
 21.26	1972	1863	F	543	            Enterobacteriaceae
  1.01	94	6	G	561	              Escherichia
  0.92	85	79	S	562	                Escherichia coli
  0.02	2	2	S1	869671	                  Escherichia coli 5.0588
  0.01	1	1	S1	1281200	                  Escherichia coli UMEA 3162-1
  0.01	1	1	S1	340186	                  Escherichia coli E110019
  0.01	1	1	S1	1116098	                  Escherichia coli p0305293.10
  0.01	1	1	S1	656440	                  Escherichia coli TA206
  0.02	2	2	S	564	                Escherichia fergusonii
  0.01	1	1	S	208962	                Escherichia albertii
  0.04	4	0	G	590	              Salmonella
  0.04	4	1	S	28901	                Salmonella enterica
  0.03	3	1	S1	59201	                  Salmonella enterica subsp. enterica
  0.02	2	2	S2	90370	                    Salmonella enterica subsp. enterica serovar Typhi
  0.02	2	0	G	547	              Enterobacter
  0.02	2	0	G1	354276	                Enterobacter cloacae complex
  0.01	1	1	S	1812935	                  Enterobacter roggenkampii
  0.01	1	1	S	158836	                  Enterobacter hormaechei
  0.02	2	0	G	570	              Klebsiella
  0.02	2	2	S	573	                Klebsiella pneumoniae
  0.02	2	0	G	544	              Citrobacter
  0.01	1	1	S	67825	                Citrobacter rodentium
  0.01	1	1	S	1736699	                Citrobacter sp. 50677481
  0.01	1	0	G	451512	              Mangrovibacter
  0.01	1	1	S	451513	                Mangrovibacter plantisponsor
  0.01	1	0	G	1780190	              Izhakiella
  0.01	1	1	S	1367852	                Izhakiella capsodis
  0.01	1	0	F1	191675	              unclassified Enterobacteriaceae
  0.01	1	1	S	1384589	                [Erwinia] teleogrylli
  0.01	1	0	G	579	              Kluyvera
  0.01	1	1	S	51288	                Kluyvera ascorbata
  0.01	1	0	G	620	              Shigella
  0.01	1	1	S	623	                Shigella flexneri
  0.01	1	0	F	1903410	            Pectobacteriaceae
  0.01	1	0	G	122277	              Pectobacterium
  0.01	1	0	S	554	                Pectobacterium carotovorum
  0.01	1	1	S1	180957	                  Pectobacterium carotovorum subsp. brasiliense
 19.90	1846	9	O	135614	          Xanthomonadales
 19.80	1837	628	F	32033	            Xanthomonadaceae
 13.02	1208	633	G	40323	              Stenotrophomonas
  6.19	574	16	G1	995085	                Stenotrophomonas maltophilia group
  6.01	558	558	S	40324	                  Stenotrophomonas maltophilia
  0.01	1	1	S	2005046	                Stenotrophomonas sp. WZN-1
  0.01	1	0	G	68	              Lysobacter
  0.01	1	1	S	1645665	                Lysobacter silvestris
  0.34	32	0	O	72274	          Pseudomonadales
  0.34	32	0	F	135621	            Pseudomonadaceae
  0.34	32	29	G	286	              Pseudomonas
  0.02	2	2	G1	136843	                Pseudomonas fluorescens group
  0.01	1	0	G1	136846	                Pseudomonas stutzeri group
  0.01	1	0	G2	578833	                  Pseudomonas stutzeri subgroup
  0.01	1	1	S	316	                    Pseudomonas stutzeri
  2.00	186	27	C	28216	        Betaproteobacteria
  1.71	159	39	O	80840	          Burkholderiales
  1.06	98	50	F	80864	            Comamonadaceae
  0.32	30	17	G	12916	              Acidovorax
  0.08	7	7	S	358220	                Acidovorax sp. KKS102
  0.02	2	2	S	2153365	                Acidovorax sp. FJL06
  0.02	2	2	S	80878	                Acidovorax temperans
  0.01	1	1	S	1768795	                Acidovorax sp. CCH12-A4
  0.01	1	1	S	2056863	                Acidovorax sp. HMWF029
  0.08	7	0	F1	83494	              unclassified Comamonadaceae
  0.08	7	7	S	1768804	                Comamonadaceae bacterium CCH4-C5
  0.05	5	4	G	80865	              Delftia
  0.01	1	1	S	1537702	                Delftia sp. 670
  0.03	3	2	G	283	              Comamonas
  0.01	1	1	S	363952	                Comamonas thiooxydans
  0.02	2	0	G	52972	              Polaromonas
  0.01	1	1	S	296591	                Polaromonas sp. JS666
  0.01	1	1	S	1855300	                Polaromonas sp. OV174
  0.01	1	0	G	47420	              Hydrogenophaga
  0.01	1	1	S	795665	                Hydrogenophaga sp. PBC
  0.18	17	0	F	75682	            Oxalobacteraceae
  0.18	17	14	G	963	              Herbaspirillum
  0.03	3	3	S	2183918	                Herbaspirillum sp. XFZ15 10_5
  0.04	4	0	O1	119065	            unclassified Burkholderiales
