  0.01	1	1	U	0	unclassified
 99.99	16818	0	R	1	root
 99.99	16818	28	R1	131567	  cellular organisms
 99.65	16760	7198	D	2	    Bacteria
 40.05	6736	2028	P	1224	      Proteobacteria
 16.30	2742	56	C	28211	        Alphaproteobacteria
 14.22	2391	0	O	204457	          Sphingomonadales
 14.19	2387	27	F	41297	            Sphingomonadaceae
 13.98	2351	2318	G	13687	              Sphingomonas
  0.04	6	6	S	1141890	                Sphingomonas guangdongensis
  0.03	5	5	S	1888892	                Sphingomonas turrisvirgatae
  0.03	5	5	S	1166337	                Sphingomonas jatrophae
  0.02	4	4	S	1550073	                Sphingomonas sp. 37zxx
  0.02	4	4	S	1985172	                Sphingomonas sp. IBVSS2
  0.02	3	3	S	2315330	                Sphingomonas sp. HMF7854
  0.01	2	2	S	93064	                Sphingomonas koreensis
  0.01	2	2	S	1628084	                Sphingomonas sp. Sph1(2015)
  0.01	1	0	S	266127	                Sphingomonas soli
  0.01	1	1	S1	1219055	                  Sphingomonas soli NBRC 100801
  0.01	1	1	S	1985879	                Sphingomonas sp. ABOLF
  0.02	3	0	G	150203	              Blastomonas
  0.02	3	3	S	2217673	                Blastomonas sp. UPD001
  0.01	2	0	G	541	              Zymomonas
  0.01	2	2	S	542	                Zymomonas mobilis
  0.01	2	0	G	165695	              Sphingobium
  0.01	1	1	S	1461752	                Sphingobium sp. Ant17
  0.01	1	1	S	627192	                Sphingobium sp. SYK-6
  0.01	1	0	G	165696	              Novosphingobium
  0.01	1	1	S	1117702	                Novosphingobium fuchskuhlense
  0.01	1	0	G	1234545	              Parasphingopyxis
  0.01	1	1	S	680125	                Parasphingopyxis lamellibrachiae
  0.02	4	1	F	335929	            Erythrobacteraceae
  0.01	2	0	G	1041	              Erythrobacter
  0.01	2	2	S	1922225	                Erythrobacter sp. Alg231-14
  0.01	1	0	G	361177	              Altererythrobacter
  0.01	1	1	S	2060312	                Altererythrobacter sp. B11
  1.37	230	44	O	356	          Rhizobiales
  0.33	56	0	F	118882	            Brucellaceae
  0.33	55	0	G	234	              Brucella
  0.24	40	40	S	235	                Brucella abortus
  0.06	10	0	S	29459	                Brucella melitensis
  0.06	10	0	S1	645169	                  Brucella melitensis bv. 2
  0.06	10	10	S2	520465	                    Brucella melitensis bv. 2 str. 63/9
  0.03	5	0	S	29461	                Brucella suis
  0.03	5	5	S1	1170703	                  Brucella suis 01-5744
  0.01	1	0	G	528	              Ochrobactrum
  0.01	1	0	S	94625	                Ochrobactrum intermedium
  0.01	1	1	S1	1337887	                  Ochrobactrum intermedium 229E
  0.19	32	0	F	82115	            Rhizobiaceae
  0.10	16	6	F1	227290	              Rhizobium/Agrobacterium group
  0.04	7	0	G	379	                Rhizobium
  0.02	4	4	S	2035450	                  Rhizobium sp. J15
  0.02	3	0	S	1120045	                  Rhizobium grahamii
  0.02	3	3	S1	990285	                    Rhizobium grahamii CCGE 502
  0.02	3	0	G	357	                Agrobacterium
  0.02	3	0	G1	1183400	                  Agrobacterium tumefaciens complex
  0.02	3	3	S	358	                    Agrobacterium tumefaciens
  0.04	7	0	G	34019	              Liberibacter
  0.03	5	5	S	309868	                Candidatus Liberibacter americanus
  0.01	2	2	S	34021	                Candidatus Liberibacter asiaticus
  0.03	5	1	G	166953	              Kaistia
  0.02	3	0	S	446684	                Kaistia soli
  0.02	3	3	S1	1122133	                  Kaistia soli DSM 19436
  0.01	1	0	S	363259	                Kaistia granuli
  0.01	1	1	S1	1122132	                  Kaistia granuli DSM 23481
  0.02	3	0	F1	227292	              Sinorhizobium/Ensifer group
  0.02	3	0	G	28105	                Sinorhizobium
  0.02	3	0	G1	663276	                  Sinorhizobium fredii group
  0.02	3	0	S	380	                    Sinorhizobium fredii
  0.02	3	3	S1	1128335	                      Sinorhizobium fredii CCBAU 83753
  0.01	1	0	F1	90141	              unclassified Rhizobiaceae
  0.01	1	1	S	2172049	                Rhizobiaceae bacterium CPCC 101076
  0.17	29	13	F	41294	            Bradyrhizobiaceae
  0.04	6	0	G	1033	              Afipia
  0.04	6	6	S	1736436	                Afipia sp. Root123D2
  0.03	5	0	G	374	              Bradyrhizobium
  0.02	4	4	S	108015	                Bradyrhizobium yuanmingense
  0.01	1	1	S	551947	                Bradyrhizobium sp. STM 3843
  0.02	4	0	G	911	              Nitrobacter
  0.02	4	0	S	912	                Nitrobacter hamburgensis
  0.02	4	4	S1	323097	                  Nitrobacter hamburgensis X14
  0.01	1	0	G	1073	              Rhodopseudomonas
  0.01	1	0	S	1076	                Rhodopseudomonas palustris
  0.01	1	1	S1	316056	                  Rhodopseudomonas palustris BisB18
  0.08	14	8	F	335928	            Xanthobacteraceae
  0.02	4	4	G	204476	              Labrys
  0.01	2	0	G	433838	              Pseudoxanthobacter
  0.01	2	0	S	433840	                Pseudoxanthobacter soli
  0.01	2	2	S1	1123029	                  Pseudoxanthobacter soli DSM 19599
  0.08	13	1	F	69277	            Phyllobacteriaceae
  0.07	12	1	G	68287	              Mesorhizobium
  0.04	7	7	S	2496743	                Mesorhizobium sp. M7A.F.Ca.US.010.02.1.1
  0.02	3	3	S	2029410	                Mesorhizobium sp. WSM4311
  0.01	1	1	S	1736555	                Mesorhizobium sp. Root552
  0.05	9	0	F	119043	            Rhodobiaceae
  0.05	9	0	G	580880	              Amorphus
  0.05	9	0	S	340680	                Amorphus coralli
  0.05	9	9	S1	1120983	                  Amorphus coralli DSM 19760
  0.04	7	0	F	119045	            Methylobacteriaceae
  0.04	7	2	G	407	              Methylobacterium
  0.03	5	5	S	2067957	                Methylobacterium sp. DM1
  0.04	6	0	F	45401	            Hyphomicrobiaceae
  0.02	4	4	G	81	              Hyphomicrobium
  0.01	1	0	G	59282	              Blastochloris
  0.01	1	1	S	1079	                Blastochloris viridis
  0.01	1	0	G	204474	              Dichotomicrobium
  0.01	1	1	S	933063	                Dichotomicrobium thermohalophilum
  0.04	6	3	F	255475	            Aurantimonadaceae
  0.01	2	0	G	414371	              Aureimonas
