100.00	17847	0	R	1	root
100.00	17847	181	R1	131567	  cellular organisms
 98.98	17665	8851	D	2	    Bacteria
 25.97	4635	31	D1	1783272	      Terrabacteria group
 13.90	2480	51	P	1239	        Firmicutes
 12.35	2204	28	C	91061	          Bacilli
  9.27	1654	57	O	186826	            Lactobacillales
  8.42	1503	2	F	1300	              Streptococcaceae
  8.40	1500	180	G	1301	                Streptococcus
  5.45	973	788	S	1313	                  Streptococcus pneumoniae
  0.12	21	21	S1	1105116	                    Streptococcus pneumoniae GA56113
  0.11	20	20	S1	760871	                    Streptococcus pneumoniae 5652-06
  0.10	18	18	S1	760775	                    Streptococcus pneumoniae GA13856
  0.10	18	18	S1	1131629	                    Streptococcus pneumoniae GA62681
  0.06	11	11	S1	869311	                    Streptococcus pneumoniae SPN032672
  0.06	10	10	S1	760843	                    Streptococcus pneumoniae GA47628
  0.05	9	9	S1	760804	                    Streptococcus pneumoniae GA40183
  0.05	9	9	S1	453365	                    Streptococcus pneumoniae CDC3059-06
  0.04	8	8	S1	760758	                    Streptococcus pneumoniae GA08780
  0.03	6	6	S1	760877	                    Streptococcus pneumoniae EU-NP01
  0.02	4	4	S1	760873	                    Streptococcus pneumoniae 4075-00
  0.02	4	4	S1	760880	                    Streptococcus pneumoniae EU-NP04
  0.02	4	4	S1	760824	                    Streptococcus pneumoniae GA44386
  0.02	4	4	S1	1159083	                    Streptococcus pneumoniae PCS8235
  0.02	3	3	S1	1131628	                    Streptococcus pneumoniae GA58981
  0.02	3	3	S1	760785	                    Streptococcus pneumoniae GA17301
  0.02	3	3	S1	760776	                    Streptococcus pneumoniae GA14373
  0.02	3	3	S1	1069624	                    Streptococcus pneumoniae GA04216
  0.02	3	3	S1	886289	                    Streptococcus pneumoniae GA17545
  0.02	3	3	S1	760883	                    Streptococcus pneumoniae NP141
  0.02	3	3	S1	760885	                    Streptococcus pneumoniae NP170
  0.01	2	2	S1	760829	                    Streptococcus pneumoniae GA47179
  0.01	2	2	S1	760838	                    Streptococcus pneumoniae GA47461
  0.01	2	2	S1	1131627	                    Streptococcus pneumoniae GA60132
  0.01	2	2	S1	760840	                    Streptococcus pneumoniae GA47522
  0.01	1	1	S1	760846	                    Streptococcus pneumoniae GA47760
