  0.06	34	34	U	0	unclassified
 99.94	54497	0	R	1	root
 99.94	54497	4826	D	3	  Bacteria
 57.22	31201	64	P	2375	    Proteobacteria
 48.51	26455	10569	C	2379	      Alphaproteobacteria
 14.40	7855	0	O	2823	        Sphingomonadales
 14.40	7855	5083	F	2844	          Sphingomonadaceae
  2.05	1118	1118	G	2852	            Sphingomonas
  1.78	972	972	G	2858	            uncultured
  0.20	108	108	G	26240	            Altererythrobacter
  0.19	103	103	G	2850	            Sphingobium
  0.17	92	92	G	2846	            Novosphingobium
  0.12	65	65	G	2853	            Sphingopyxis
  0.10	56	56	G	26245	            Erythrobacter
  0.08	41	41	G	26250	            SD04E11
  0.07	36	36	G	2857	            Zymomonas
  0.06	34	34	G	2854	            Sphingorhabdus
  0.06	34	34	G	11469	            Polymorphobacter
  0.06	32	32	G	26244	            Ellin6055
  0.06	30	30	G	26248	            Porphyrobacter
  0.03	19	19	G	2855	            Sphingosinicella
  0.03	14	14	G	2848	            Sandaracinobacter
  0.02	9	9	G	14559	            Rhizorhapis
  0.01	4	4	G	26246	            MN 122.2a
  0.00	2	2	G	26243	            DSSF69
  0.00	2	2	G	26251	            Sphingoaurantiacus
  0.00	1	1	G	14558	            Parablastomonas
 13.20	7200	696	O	2421	        Rhizobiales
  5.64	3075	322	F	2545	          Xanthobacteraceae
  2.86	1562	1562	G	26151	            Bradyrhizobium
  0.79	433	433	G	2554	            uncultured
  0.34	185	185	G	2550	            Pseudolabrys
  0.32	174	174	G	26158	            Rhodopseudomonas
  0.29	158	158	G	26154	            Nitrobacter
  0.28	155	155	G	26148	            Afipia
  0.10	56	56	G	26157	            Rhodoplanes
  0.02	13	13	G	26156	            Pseudorhodoplanes
  0.02	9	9	G	2548	            Azorhizobium
  0.01	3	3	G	26155	            Oligotropha
  0.00	2	2	G	2546	            Ancylobacter
  0.00	2	2	G	2553	            Xanthobacter
  0.00	1	1	G	26159	            Tardiphaga
  3.81	2076	222	F	2525	          Rhizobiaceae
  2.16	1177	1177	G	26091	            Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
  0.58	315	315	G	26112	            Mesorhizobium
  0.19	106	106	G	26115	            Ochrobactrum
  0.09	47	47	G	26108	            Hoeflea
  0.08	43	43	G	2526	            Ensifer
  0.05	26	26	G	11436	            Neorhizobium
  0.04	24	24	G	26127	            uncultured
  0.04	22	22	G	26096	            Bartonella
  0.03	16	16	G	2529	            Shinella
  0.02	12	12	G	26107	            Fulvimarina
  0.02	10	10	G	26089	            Ahrensia
