Genus,CV-ed AUROC
Cellulomonas,0.6284982174688057
Pantoea,0.5884135472370766
Cronobacter,0.6059046345811051
Megasphaera,0.6170677361853831
Prevotella,0.6853609625668449
Stenotrophomonas,0.7155525846702316
Shigella,0.6590463458110518
Shewanella,0.5829768270944741
Bacillus,0.6609848484848484
Alphatorquevirus,0.6370098039215686
Cupriavidus,0.5396167557932265
Burkholderia,0.7124777183600712
Clostridioides,0.5641265597147951
Agrobacterium,0.6475713012477717
Capnocytophaga,0.629211229946524
Parabacteroides,0.5625222816399287
Alloprevotella,0.5913101604278076
Actinomadura,0.5121434937611408
Veillonella,0.6735739750445633
Aeromonas,0.5561497326203207
Blautia,0.6022281639928699
Bacteroides,0.6556372549019609
